idx,loc_x,loc_y,loc_z,weight,seq,emerg,relocation,size(ft)
1.0,6,0,0,15.26,0.0,0.0,0,20
2.0,6,0,1,20.03,0.0,0.0,0,20
3.0,1,0,3,13.41,0.0,0.0,1,20
4.0,1,0,0,6.08,0.0,0.0,1,20
5.0,3,0,3,18.17,0.0,0.0,2,20
6.0,5,0,1,23.71,0.0,0.0,1,20
7.0,5,0,0,18.69,0.0,0.0,0,20
8.0,3,0,0,11.06,1.0,0.0,0,20
9.0,2,0,1,7.51,2.0,0.0,1,20
10.0,4,0,0,12.5,3.0,0.0,0,20
11.0,5,0,2,23.47,4.0,0.0,0,20
12.0,4,0,3,20.57,5.0,0.0,1,20
13.0,4,0,2,20.62,6.0,0.0,1,20
14.0,4,0,1,23.81,7.0,0.0,0,20
15.0,2,0,0,6.8,8.0,0.0,0,20
16.0,3,0,1,12.71,9.0,0.0,0,20
17.0,3,0,4,19.73,10.0,0.0,1,20
18.0,1,0,1,5.49,11.0,0.0,0,20
19.0,1,0,2,5.51,12.0,0.0,0,20
20.0,5,0,3,22.63,13.0,0.0,0,20
21.0,2,0,2,12.89,14.0,0.0,0,20
22.0,3,0,2,14.98,15.0,0.0,0,20
23.0,2,0,3,15.06,16.0,0.0,0,20
24.0,2,0,4,15.51,17.0,0.0,0,20
25.0,1,0,4,16.01,18.0,0.0,0,20
